date,actual_mean_temp,actual_min_temp,actual_max_temp
2014-07-01,77,60,94
2014-07-02,70,58,81
2014-07-03,64,57,71
2014-07-04,66,57,75
2014-07-05,66,56,76
2014-07-06,72,59,84
2014-07-07,73,64,81
2014-07-08,73,60,86
2014-07-09,69,57,80
2014-07-10,70,55,84
2014-07-11,74,59,88
2014-07-12,76,62,90
2014-07-13,72,59,85
2014-07-14,71,59,82
2014-07-15,73,57,88
2014-07-16,73,58,88
2014-07-17,69,57,80
2014-07-18,64,53,75
2014-07-19,69,59,78
2014-07-20,63,58,67
2014-07-21,66,56,75
2014-07-22,63,56,70
2014-07-23,61,56,66
2014-07-24,62,55,69
2014-07-25,64,54,73
2014-07-26,68,56,79
2014-07-27,71,59,83
2014-07-28,73,59,87
2014-07-29,73,60,86
2014-07-30,72,58,85
2014-07-31,76,64,87
2014-08-01,72,59,84
2014-08-02,73,60,85
2014-08-03,74,58,89
2014-08-04,76,61,91
2014-08-05,67,57,77
2014-08-06,69,59,79
2014-08-07,67,56,78
2014-08-08,67,56,78
2014-08-09,71,60,81
2014-08-10,72,57,87
2014-08-11,80,64,96
2014-08-12,72,63,81
2014-08-13,67,59,74
2014-08-14,67,63,70
2014-08-15,69,62,76
2014-08-16,69,60,78
2014-08-17,71,59,82
2014-08-18,73,60,85
2014-08-19,71,60,81
2014-08-20,64,57,71
2014-08-21,61,52,70
2014-08-22,66,56,75
2014-08-23,70,57,82
2014-08-24,67,56,77
2014-08-25,71,58,84
2014-08-26,74,60,88
2014-08-27,73,61,84
2014-08-28,66,58,74
2014-08-29,66,59,73
2014-08-30,62,59,64
2014-08-31,64,57,70
2014-09-01,65,55,74
2014-09-02,63,57,68
2014-09-03,62,55,69
2014-09-04,64,52,75
2014-09-05,70,57,82
2014-09-06,75,59,90
2014-09-07,70,56,83
2014-09-08,63,56,70
2014-09-09,64,56,71
2014-09-10,63,54,72
2014-09-11,66,55,76
2014-09-12,66,55,76
2014-09-13,67,50,83
2014-09-14,70,53,86
2014-09-15,71,54,87
2014-09-16,65,57,72
2014-09-17,66,58,73
2014-09-18,63,59,67
2014-09-19,68,61,75
2014-09-20,67,58,76
2014-09-21,67,55,79
2014-09-22,66,59,72
2014-09-23,62,58,66
2014-09-24,62,58,66
2014-09-25,65,58,71
2014-09-26,63,57,68
2014-09-27,61,53,69
2014-09-28,60,54,66
2014-09-29,57,52,62
2014-09-30,61,54,67
2014-10-01,59,52,65
2014-10-02,59,50,67
2014-10-03,60,48,72
2014-10-04,63,54,71
2014-10-05,64,53,75
2014-10-06,67,56,78
2014-10-07,62,57,66
2014-10-08,62,55,69
2014-10-09,58,52,63
2014-10-10,58,50,65
2014-10-11,59,53,65
2014-10-12,59,53,64
2014-10-13,60,50,70
2014-10-14,58,53,62
2014-10-15,57,53,61
2014-10-16,61,52,69
2014-10-17,58,53,62
2014-10-18,62,57,67
2014-10-19,64,55,72
2014-10-20,58,54,61
2014-10-21,57,53,61
2014-10-22,57,53,60
2014-10-23,53,47,58
2014-10-24,53,48,58
2014-10-25,55,47,62
2014-10-26,51,46,55
2014-10-27,52,44,60
2014-10-28,54,49,59
2014-10-29,58,53,62
2014-10-30,56,52,60
2014-10-31,51,47,55
2014-11-01,49,45,52
2014-11-02,51,45,56
2014-11-03,55,52,57
2014-11-04,55,51,58
2014-11-05,55,51,59
2014-11-06,57,51,62
2014-11-07,52,45,58
2014-11-08,47,39,55
2014-11-09,51,46,56
2014-11-10,47,42,52
2014-11-11,40,34,46
2014-11-12,38,32,44
2014-11-13,39,33,45
2014-11-14,37,28,45
2014-11-15,38,29,47
2014-11-16,39,28,49
2014-11-17,40,28,51
2014-11-18,38,31,45
2014-11-19,44,36,52
2014-11-20,47,42,52
2014-11-21,50,47,52
2014-11-22,47,44,49
2014-11-23,49,42,55
2014-11-24,47,40,53
2014-11-25,53,49,57
2014-11-26,57,54,59
2014-11-27,56,53,58
2014-11-28,47,38,55
2014-11-29,32,24,40
2014-11-30,30,23,37
2014-12-01,33,26,40
2014-12-02,34,26,42
2014-12-03,41,32,50
2014-12-04,43,39,47
2014-12-05,50,44,55
2014-12-06,50,46,53
2014-12-07,51,43,58
2014-12-08,53,48,58
2014-12-09,56,51,61
2014-12-10,58,50,66
2014-12-11,53,47,58
2014-12-12,49,45,52
2014-12-13,45,39,50
2014-12-14,45,35,55
2014-12-15,49,44,54
2014-12-16,49,47,50
2014-12-17,46,43,48
2014-12-18,47,44,49
2014-12-19,49,45,52
2014-12-20,50,44,55
2014-12-21,53,50,55
2014-12-22,47,43,51
2014-12-23,48,41,54
2014-12-24,42,39,45
2014-12-25,42,37,46
2014-12-26,39,35,42
2014-12-27,45,40,49
2014-12-28,41,37,44
2014-12-29,38,33,43
2014-12-30,33,28,38
2014-12-31,33,27,38
2015-01-01,34,26,42
2015-01-02,37,32,42
2015-01-03,38,35,41
2015-01-04,45,38,51
2015-01-05,52,49,54
2015-01-06,49,43,54
2015-01-07,44,42,46
2015-01-08,41,35,46
2015-01-09,44,38,50
2015-01-10,45,43,46
2015-01-11,47,45,49
2015-01-12,46,40,52
2015-01-13,43,37,49
2015-01-14,38,33,43
2015-01-15,40,34,46
2015-01-16,48,42,53
2015-01-17,47,38,56
2015-01-18,51,45,57
2015-01-19,47,43,50
2015-01-20,44,38,50
2015-01-21,38,31,45
2015-01-22,46,43,49
2015-01-23,51,47,54
2015-01-24,55,52,58
2015-01-25,54,45,63
2015-01-26,52,43,61
2015-01-27,50,47,52
2015-01-28,48,41,54
2015-01-29,46,38,54
2015-01-30,41,34,47
2015-01-31,42,38,45
2015-02-01,45,40,49
2015-02-02,47,41,52
2015-02-03,46,42,50
2015-02-04,46,40,51
2015-02-05,52,47,56
2015-02-06,54,50,58
2015-02-07,52,49,54
2015-02-08,53,47,59
2015-02-09,52,47,56
2015-02-10,51,47,55
2015-02-11,49,42,55
2015-02-12,56,49,62
2015-02-13,52,44,60
2015-02-14,51,44,58
2015-02-15,47,39,54
2015-02-16,51,42,59
2015-02-17,51,40,61
2015-02-18,47,40,54
2015-02-19,49,47,51
2015-02-20,49,45,52
2015-02-21,48,42,54
2015-02-22,46,38,53
2015-02-23,44,33,55
2015-02-24,44,36,52
2015-02-25,47,44,50
2015-02-26,50,46,53
2015-02-27,47,44,50
2015-02-28,46,38,54
2015-03-01,43,34,52
2015-03-02,46,40,52
2015-03-03,42,32,51
2015-03-04,43,31,55
2015-03-05,47,37,56
2015-03-06,49,38,59
2015-03-07,51,39,62
2015-03-08,51,39,63
2015-03-09,49,40,58
2015-03-10,49,41,56
2015-03-11,53,48,58
2015-03-12,57,49,64
2015-03-13,55,46,63
2015-03-14,53,49,57
2015-03-15,47,43,51
2015-03-16,50,43,57
2015-03-17,48,40,56
2015-03-18,53,45,60
2015-03-19,54,47,60
2015-03-20,53,48,57
2015-03-21,52,47,56
2015-03-22,48,43,53
2015-03-23,47,42,52
2015-03-24,49,43,55
2015-03-25,52,45,58
2015-03-26,60,50,69
2015-03-27,57,48,65
2015-03-28,55,49,60
2015-03-29,54,48,60
2015-03-30,58,51,64
2015-03-31,49,43,55
2015-04-01,49,42,55
2015-04-02,49,42,56
2015-04-03,47,41,52
2015-04-04,47,39,55
2015-04-05,50,37,62
2015-04-06,51,44,57
2015-04-07,51,44,58
2015-04-08,53,43,63
2015-04-09,53,43,63
2015-04-10,52,46,57
2015-04-11,48,42,53
2015-04-12,49,42,56
2015-04-13,46,39,53
2015-04-14,45,37,53
2015-04-15,48,38,57
2015-04-16,52,39,64
2015-04-17,55,43,66
2015-04-18,57,47,66
2015-04-19,59,47,70
2015-04-20,60,46,73
2015-04-21,54,44,63
2015-04-22,51,41,60
2015-04-23,49,44,54
2015-04-24,49,43,54
2015-04-25,49,42,56
2015-04-26,50,40,60
2015-04-27,64,51,77
2015-04-28,54,48,60
2015-04-29,53,45,61
2015-04-30,55,46,63
2015-05-01,57,48,65
2015-05-02,56,46,65
2015-05-03,58,46,69
2015-05-04,54,45,63
2015-05-05,52,45,58
2015-05-06,54,45,62
2015-05-07,56,43,69
2015-05-08,61,47,75
2015-05-09,65,49,80
2015-05-10,60,52,67
2015-05-11,54,50,57
2015-05-12,56,51,60
2015-05-13,52,50,54
2015-05-14,57,49,64
2015-05-15,59,49,68
2015-05-16,56,52,60
2015-05-17,59,51,67
2015-05-18,66,54,78
2015-05-19,62,53,71
2015-05-20,63,51,74
2015-05-21,66,53,78
2015-05-22,58,53,62
2015-05-23,57,53,61
2015-05-24,58,52,64
2015-05-25,56,52,60
2015-05-26,62,53,71
2015-05-27,65,53,76
2015-05-28,68,54,82
2015-05-29,67,55,79
2015-05-30,62,50,73
2015-05-31,65,53,77
2015-06-01,57,53,61
2015-06-02,60,55,64
2015-06-03,61,53,68
2015-06-04,63,53,73
2015-06-05,68,55,80
2015-06-06,71,56,85
2015-06-07,74,60,88
2015-06-08,73,58,87
2015-06-09,71,58,84
2015-06-10,65,52,78
2015-06-11,64,52,76
2015-06-12,61,53,68
2015-06-13,62,49,75
2015-06-14,68,53,82
2015-06-15,74,61,86
2015-06-16,63,52,73
2015-06-17,65,52,77
2015-06-18,67,57,76
2015-06-19,66,56,75
2015-06-20,66,55,77
2015-06-21,68,57,78
2015-06-22,66,55,77
2015-06-23,66,53,79
2015-06-24,70,61,78
2015-06-25,74,60,87
2015-06-26,77,64,89
2015-06-27,78,63,92
2015-06-28,74,65,83
2015-06-29,74,63,84
2015-06-30,73,59,87